FieldID	TRAIT_OF_INTEREST	EXCLUDED	CAT_MULT_INDICATOR_FIELDS	CAT_SINGLE_TO_CAT_MULT	DATA_CODING	Path	Category	Field	ValueType
3						UK Biobank Assessment Centre > Procedural metrics	100004	Time taken for verbal interview stage	Integer
4						UK Biobank Assessment Centre > Procedural metrics	100004	Time taken for biometric station	Integer
5						UK Biobank Assessment Centre > Procedural metrics	100004	Time taken for blood phlebotomy station	Integer
6						UK Biobank Assessment Centre > Procedural metrics	100004	Time taken for conclusion station	Integer
19					100260	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel	100018	Heel ultrasound method	Categorical single
21					100261	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	100010	Weight method	Categorical single
23					100270	UK Biobank Assessment Centre > Physical measures > Spirometry	100020	Spirometry method	Categorical single
31		YES-SEX			9	Population characteristics > Baseline characteristics	100094	Sex	Categorical single
34		YES-AGE				Population characteristics > Baseline characteristics	100094	Year of birth	Integer
35					7	UK Biobank Assessment Centre > Biological sampling > Blood sample collection	100002	Was blood sampling attempted	Categorical single
46						UK Biobank Assessment Centre > Physical measures > Hand grip strength	100019	Hand grip strength (left)	Integer
47						UK Biobank Assessment Centre > Physical measures > Hand grip strength	100019	Hand grip strength (right)	Integer
48						UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	100010	Waist circumference	Continuous
49						UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	100010	Hip circumference	Continuous
50						UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	100010	Standing height	Continuous
51						UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures	100010	Seated height	Continuous
52		YES-AGE			8	Population characteristics > Baseline characteristics	100094	Month of birth	Categorical single
54		YES-ASSESSMENT-CENTRE			10	UK Biobank Assessment Centre > Recruitment > Reception	100024	UK Biobank assessment centre	Categorical single
55					8	UK Biobank Assessment Centre > Recruitment > Reception	100024	Month of attending assessment centre	Categorical single
62					100641	UK Biobank Assessment Centre > Procedural metrics	100004	Willing to attempt cognitive tests	Categorical single
68						UK Biobank Assessment Centre > Biological sampling > Blood sample collection	100002	Number of blood samples taken	Integer
